Date,StockCode,Close
2024-03-21,KLBF,1460.0
2024-03-21,KLIN,18.0
2024-03-21,KMDS,434.0
2024-03-21,KMTR,260.0
2024-03-21,KOBX,151.0
2024-03-21,KOCI,59.0
2024-03-21,KOIN,72.0
2024-03-21,KOKA,78.0
2024-03-21,KONI,1025.0
2024-03-21,KOPI,364.0
2024-03-21,KOTA,50.0
2024-03-21,KPAL,50.0
2024-03-21,KPAS,62.0
2024-03-21,KPIG,63.0
2024-03-21,KRAH,436.0
2024-03-21,KRAS,149.0
2024-03-21,KREN,50.0
2024-03-21,KRYA,50.0
2024-03-21,KUAS,53.0
2024-03-21,LABA,50.0
2024-03-21,LAJU,55.0
2024-03-21,LAND,17.0
2024-03-21,LAPD,7.0
2024-03-21,LCGP,114.0
2024-03-21,LCKM,298.0
2024-03-21,LEAD,63.0
2024-03-21,LFLO,50.0
2024-03-21,LIFE,6025.0
2024-03-21,LINK,1075.0
2024-03-21,LION,484.0
2024-03-21,LIVE,163.0
2024-03-21,LMAS,50.0
2024-03-21,LMAX,61.0
2024-03-21,LMPI,100.0
2024-03-21,LMSH,368.0
2024-03-21,LOPI,56.0
2024-03-21,LPCK,565.0
2024-03-21,LPGI,4000.0
2024-03-21,LPIN,332.0
2024-03-21,LPKR,70.0
2024-03-21,LPLI,224.0
2024-03-21,LPPF,1800.0
2024-03-21,LPPS,71.0
2024-03-21,LRNA,159.0
2024-03-21,LSIP,925.0
2024-03-21,LTLS,1140.0
2024-03-21,LUCK,67.0
2024-03-21,LUCY,144.0
2024-03-21,MABA,50.0
2024-03-21,MAGP,50.0
2024-03-21,MAHA,194.0
2024-03-21,MAIN,535.0
2024-03-21,MAMI,50.0
2024-03-21,MAMIP,600.0
2024-03-21,MANG,148.0
2024-03-21,MAPA,1020.0
2024-03-21,MAPB,1955.0
2024-03-21,MAPI,1805.0
2024-03-21,MARI,51.0
2024-03-21,MARK,900.0
2024-03-21,MASA,5175.0
2024-03-21,MASB,3460.0
2024-03-21,MAXI,50.0
2024-03-21,MAYA,364.0
2024-03-21,MBAP,4040.0
2024-03-21,MBMA,482.0
2024-03-21,MBSS,1045.0
2024-03-21,MBTO,93.0
2024-03-21,MCAS,1775.0
2024-03-21,MCOL,5900.0
2024-03-21,MCOR,73.0
2024-03-21,MDIA,50.0
2024-03-21,MDKA,2400.0
2024-03-21,MDKI,202.0
2024-03-21,MDLN,50.0
2024-03-21,MDRN,5.0
2024-03-21,MEDC,1430.0
2024-03-21,MEDS,50.0
2024-03-21,MEGA,4990.0
2024-03-21,MEJA,188.0
2024-03-21,MENN,10.0
2024-03-21,MERK,3890.0
2024-03-21,META,238.0
2024-03-21,MFIN,3180.0
2024-03-21,MFMI,488.0
2024-03-21,MGLV,77.0
2024-03-21,MGNA,9.0
2024-03-21,MGRO,600.0
2024-03-21,MICE,500.0
2024-03-21,MIDI,420.0
2024-03-21,MIKA,2650.0
2024-03-21,MINA,50.0
2024-03-21,MIRA,6.0
2024-03-21,MITI,200.0
2024-03-21,MKAP,276.0
2024-03-21,MKNT,2.0
2024-03-21,MKPI,27000.0
2024-03-21,MKTR,123.0
2024-03-21,MLBI,7025.0
2024-03-21,MLIA,408.0
2024-03-21,MLPL,58.0
2024-03-21,MLPT,1520.0
2024-03-21,MMIX,69.0
2024-03-21,MMLP,316.0
2024-03-21,MNCN,338.0
2024-03-21,MOLI,332.0
2024-03-21,MORA,456.0
2024-03-21,MPIX,85.0
2024-03-21,MPMX,1040.0
2024-03-21,MPOW,55.0
2024-03-21,MPPA,52.0
2024-03-21,MPRO,1950.0
2024-03-21,MPXL,157.0
2024-03-21,MRAT,370.0
2024-03-21,MREI,1350.0
2024-03-21,MSIE,19.0
2024-03-21,MSIN,2900.0
2024-03-21,MSJA,306.0
2024-03-21,MSKY,78.0
2024-03-21,MSTI,1180.0
2024-03-21,MTDL,565.0
2024-03-21,MTEL,615.0
2024-03-21,MTFN,50.0
2024-03-21,MTLA,390.0
2024-03-21,MTMH,1320.0
2024-03-21,MTPS,9.0
2024-03-21,MTRA,244.0
2024-03-21,MTSM,92.0
2024-03-21,MTWI,77.0
2024-03-21,MUTU,94.0
2024-03-21,MYOH,1910.0
2024-03-21,MYOR,2550.0
2024-03-21,MYRX,50.0
2024-03-21,MYRXP,50.0
2024-03-21,MYTX,54.0
2024-03-21,NANO,17.0
2024-03-21,NASA,19.0
2024-03-21,NASI,68.0
2024-03-21,NATO,160.0
2024-03-21,NAYZ,22.0
2024-03-21,NCKL,900.0
2024-03-21,NELY,530.0
2024-03-21,NETV,53.0
2024-03-21,NFCX,1820.0
2024-03-21,NICE,1250.0
2024-03-21,NICK,270.0
2024-03-21,NICL,173.0
2024-03-21,NIKL,625.0
2024-03-21,NINE,7.0
2024-03-21,NIPS,282.0
2024-03-21,NIRO,140.0
2024-03-21,NISP,1410.0
2024-03-21,NOBU,775.0
2024-03-21,NPGF,50.0
2024-03-21,NRCA,348.0
2024-03-21,NSSS,184.0
2024-03-21,NTBK,50.0
2024-03-21,NUSA,50.0
2024-03-21,NZIA,81.0
2024-03-21,OASA,119.0
2024-03-21,OBMD,280.0
2024-03-21,OCAP,159.0
2024-03-21,OILS,128.0
2024-03-21,OKAS,97.0
2024-03-21,OLIV,10.0
2024-03-21,OMED,199.0
2024-03-21,OMRE,484.0
2024-03-21,OPMS,53.0
2024-03-21,PACK,38.0
2024-03-21,PADA,50.0
2024-03-21,PADI,9.0
2024-03-21,PALM,420.0
2024-03-21,PAMG,70.0
2024-03-21,PANI,5200.0
2024-03-21,PANR,440.0
2024-03-21,PANS,1615.0
2024-03-21,PBID,1445.0
2024-03-21,PBRX,50.0
2024-03-21,PBSA,290.0
2024-03-21,PCAR,50.0
2024-03-21,PDES,214.0
2024-03-21,PDPP,470.0
2024-03-21,PEGE,116.0
2024-03-21,PEHA,515.0
2024-03-21,PEVE,176.0
2024-03-21,PGAS,1335.0
2024-03-21,PGEO,1200.0
2024-03-21,PGJO,85.0
2024-03-21,PGLI,142.0
2024-03-21,PGUN,412.0
2024-03-21,PICO,102.0
2024-03-21,PIPA,50.0
2024-03-21,PJAA,890.0
2024-03-21,PKPK,338.0
2024-03-21,PLAN,25.0
2024-03-21,PLAS,50.0
2024-03-21,PLIN,2680.0
2024-03-21,PMJS,137.0
2024-03-21,PMMP,318.0
2024-03-21,PNBN,1090.0
2024-03-21,PNBS,51.0
2024-03-21,PNGO,1460.0
2024-03-21,PNIN,860.0
