tanggal,harga
2022-10-04,9.225
2022-10-05,9.275
2022-10-06,9.325
2022-10-07,9.425
2022-10-10,9.300
2022-10-11,9.300
2022-10-12,9.425
2022-10-13,9.475
2022-10-14,9.400
2022-10-17,9.450
2022-10-18,9.500
2022-10-19,9.475
2022-10-20,9.900
2022-10-21,10.350
2022-10-24,10.250
2022-10-25,10.225
2022-10-26,10.200
2022-10-27,10.200
2022-10-28,10.200
2022-10-31,10.550
2022-11-01,10.400
2022-11-02,10.075
2022-11-03,10.175
2022-11-04,10.150
2022-11-07,10.250
2022-11-08,10.150
2022-11-09,10.150
2022-11-10,10.100
2022-11-11,10.425
2022-11-14,10.250
2022-11-15,10.250
2022-11-16,10.000
2022-11-17,9.900
2022-11-18,10.175
2022-11-21,10.100
2022-11-22,10.125
2022-11-23,10.200
2022-11-24,10.225
2022-11-25,10.175
2022-11-28,10.125
2022-11-29,10.325
2022-11-30,10.525
2022-12-01,10.400
2022-12-02,10.525
2022-12-05,10.875
2022-12-06,10.900
2022-12-07,10.375
2022-12-08,10.050
2022-12-09,9.925
2022-12-12,9.950
2022-12-13,9.900
2022-12-14,9.950
2022-12-15,9.900
2022-12-16,10.100
2022-12-19,10.000
2022-12-20,10.050
2022-12-21,10.000
2022-12-22,9.950
2022-12-23,9.925
2022-12-26,10.050
2022-12-27,9.950
2022-12-28,9.975
2022-12-29,9.975
2022-12-30,9.925
2023-01-02,9.875
2023-01-03,9.950
2023-01-04,10.025
2023-01-05,9.825
2023-01-06,9.800
2023-01-09,9.725
2023-01-10,9.275
2023-01-11,8.950
2023-01-12,9.200
2023-01-13,9.175
2023-01-16,9.300
2023-01-17,9.750
2023-01-18,9.550
2023-01-19,9.750
2023-01-20,9.975
2023-01-23,unk
2023-01-24,9.900
2023-01-25,9.700
2023-01-26,9.825
2023-01-27,10.025
2023-01-30,9.950
2023-01-31,9.950
2023-02-01,9.700
2023-02-02,9.725
2023-02-03,9.925
2023-02-06,9.875
2023-02-07,10.175
2023-02-08,10.200
2023-02-09,10.250
2023-02-10,10.300
2023-02-13,10.350
2023-02-14,10.375
2023-02-15,10.225
2023-02-16,10.175
2023-02-17,10.300
2023-02-20,10.275
2023-02-21,10.200
2023-02-22,10.000
2023-02-23,10.075
2023-02-24,10.125
2023-02-27,10.150
2023-02-28,10.000
2023-03-01,10.100
2023-03-02,10.225
2023-03-03,10.050
2023-03-06,10.125
2023-03-07,10.175
2023-03-08,10.275
2023-03-09,10.450
2023-03-10,10.375
2023-03-13,10.350
2023-03-14,9.925
2023-03-15,10.050
2023-03-16,9.850
2023-03-17,10.100
2023-03-20,10.000
2023-03-21,10.500
2023-03-23,unk
2023-03-24,10.900
2023-03-27,10.200
2023-03-28,10.125
2023-03-29,10.350
2023-03-30,10.225
2023-03-31,10.325
2023-04-03,10.525
2023-04-04,5.200
2023-04-05,5.225
2023-04-06,5.175
2023-04-10,5.100
2023-04-11,5.100
2023-04-12,5.150
2023-04-13,5.125
2023-04-14,5.225
2023-04-17,5.125
2023-04-18,5.175
2023-04-19,unk
2023-04-20,unk
2023-04-21,unk
2023-04-24,unk
2023-04-25,unk
2023-04-26,5.200
2023-04-27,5.200
2023-04-28,5.175
2023-05-02,5.250
2023-05-03,5.225
2023-05-04,5.175
2023-05-05,5.175
2023-05-08,5.125
2023-05-09,5.050
2023-05-10,5.075
2023-05-11,5.100
2023-05-12,5.000
2023-05-15,5.050
2023-05-16,4.990
2023-05-17,5.000
2023-05-19,5.075
2023-05-22,5.225
2023-05-23,5.125
2023-05-24,5.075
2023-05-25,5.175
2023-05-26,5.125
2023-05-29,5.150
2023-05-30,5.150
2023-05-31,5.050
2023-06-02,unk
2023-06-05,5.075
2023-06-06,5.050
2023-06-07,5.025
2023-06-08,5.025
2023-06-09,5.125
2023-06-12,5.100
2023-06-13,5.100
2023-06-14,5.050
2023-06-15,5.125
2023-06-16,5.150
2023-06-19,5.125
2023-06-20,5.100
2023-06-21,5.100
2023-06-22,5.075
2023-06-23,5.075
2023-06-26,5.125
2023-06-27,5.200
2023-06-28,unk
2023-06-30,unk
2023-07-03,5.350
2023-07-04,5.250
2023-07-05,5.275
2023-07-06,5.300
2023-07-07,5.150
2023-07-10,5.175
2023-07-11,5.275
2023-07-12,5.300
2023-07-13,5.350
2023-07-14,5.400
2023-07-17,5.375
2023-07-18,5.350
2023-07-20,5.525
2023-07-21,5.550
2023-07-24,5.500
2023-07-25,5.550
2023-07-26,5.575
2023-07-27,5.625
2023-07-28,5.700
2023-07-31,5.725
2023-08-01,5.650
2023-08-02,5.700
2023-08-03,5.800
2023-08-04,5.775
2023-08-07,5.875
2023-08-08,5.900
2023-08-09,5.900
2023-08-10,5.975
2023-08-11,5.925
2023-08-14,5.950
2023-08-15,5.800
2023-08-16,5.800
2023-08-18,5.775
2023-08-21,5.825
2023-08-22,5.950
2023-08-23,5.850
2023-08-24,5.950
2023-08-25,5.900
2023-08-28,6.000
2023-08-29,5.950
2023-08-30,5.975
2023-08-31,6.025
2023-09-01,6.075
2023-09-04,6.100
2023-09-05,6.100
2023-09-06,6.050
2023-09-07,5.875
2023-09-08,5.900
2023-09-11,5.925
2023-09-12,5.875
2023-09-13,5.850
2023-09-14,5.825
2023-09-15,5.925
2023-09-18,5.900
2023-09-19,6.000
2023-09-20,6.075
2023-09-21,6.000
2023-09-22,6.000
2023-09-25,6.000
2023-09-26,5.925
2023-09-28,unk
2023-09-29,6.025
2023-10-02,6.050
2023-10-03,6.075
2023-10-04,6.125
2023-10-05,6.125
2023-10-06,6.025
2023-10-09,5.900
2023-10-10,6.000
2023-10-11,6.050
2023-10-12,6.075
2023-10-13,6.075
2023-10-16,6.025
2023-10-17,6.000
2023-10-18,5.850
2023-10-19,5.725
2023-10-20,5.750
2023-10-23,5.675
